W,max_rest,percent_glory_sync,success_prob_async
0,57,0,0
1,57,0,0
2,57,0,0
3,57,0,0
4,57,0.0204082,0
5,57,0.0204082,0
6,57,0.0204082,0
7,57,0.0204082,0
8,57,0.0204082,0
9,57,0.0408163,0
10,57,0.102041,0
11,57,0.102041,0
12,57,0.163265,0
13,57,0.163265,0
14,57,0.163265,0
15,57,0.163265,0
16,57,0.163265,0
17,57,0.244898,0
18,57,0.285714,0
19,57,0.326531,0
20,57,0.346939,0
21,57,0.346939,0
22,57,0.346939,0
23,57,0.387755,0
24,57,0.408163,0
25,57,0.408163,0
26,57,0.469388,0
27,57,0.489796,0.01
28,57,0.510204,0
29,57,0.55102,0.01
30,57,0.571429,0
31,57,0.632653,0.01
32,57,0.673469,0.03
33,57,0.714286,0.07
34,57,0.755102,0.13
35,57,0.755102,0.11
36,57,0.77551,0.1
37,57,0.77551,0.14
38,57,0.795918,0.21
39,57,0.816327,0.3
40,57,0.816327,0.2
41,57,0.857143,0.21
42,57,0.877551,0.34
43,57,0.897959,0.36
44,57,0.918367,0.59
45,57,0.918367,0.54
46,57,0.918367,0.65
47,57,0.959184,0.8
48,57,0.959184,0.73
49,57,0.979592,0.8
50,57,0.979592,0.86
51,57,0.979592,0.85
52,57,0.979592,0.86
53,57,0.979592,0.87
54,57,0.979592,0.85
55,57,0.979592,0.88
56,57,0.979592,0.86
57,57,1,1
58,57,1,1
59,57,1,1
60,57,1,1
61,57,1,1
62,57,1,1
63,57,1,1
64,57,1,1
65,57,1,1
66,57,1,1
67,57,1,1
68,57,1,1
69,57,1,1
70,57,1,1
71,57,1,1
72,57,1,1
73,57,1,1
74,57,1,1
75,57,1,1
76,57,1,1
77,57,1,1
78,57,1,1
79,57,1,1
80,57,1,1
81,57,1,1
82,57,1,1
83,57,1,1
84,57,1,1
85,57,1,1
86,57,1,1
87,57,1,1
88,57,1,1
89,57,1,1
90,57,1,1
91,57,1,1
92,57,1,1
93,57,1,1
94,57,1,1
95,57,1,1
96,57,1,1
97,57,1,1
98,57,1,1
99,57,1,1
100,57,1,1
101,57,1,1
102,57,1,1
103,57,1,1
104,57,1,1
105,57,1,1
106,57,1,1
107,57,1,1
108,57,1,1
109,57,1,1
110,57,1,1
111,57,1,1
112,57,1,1
113,57,1,1
114,57,1,1
115,57,1,1
116,57,1,1
117,57,1,1
118,57,1,1
119,57,1,1
120,57,1,1
121,57,1,1
122,57,1,1
123,57,1,1
124,57,1,1
125,57,1,1
126,57,1,1
127,57,1,1
128,57,1,1
129,57,1,1
130,57,1,1
131,57,1,1
132,57,1,1
133,57,1,1
134,57,1,1
135,57,1,1
136,57,1,1
137,57,1,1
138,57,1,1
139,57,1,1
140,57,1,1
141,57,1,1
142,57,1,1
143,57,1,1
144,57,1,1
145,57,1,1
146,57,1,1
147,57,1,1
148,57,1,1
149,57,1,1
150,57,1,1
